"U.S. electricity retail sales to major end-use sectors and electricity direct use by all sectors, 1950-2022",,,,,,,,,,,,,
trillion kilowatthours,,,,,,,,,,,,,
"Data source: U.S. Energy Information Administration, <em>Monthly Energy Review</em>, Table 7.6, March 2023, preliminary data for 2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
An interactive area flow chart showing the amount of annual U.S. retail electricity sales to major end-use sectors and electricity direct use by all sectors in 1950 through 2022.,,,,,,,,,,,,,
,industrial,commercial,residential,transportation,direct use,Total Demand,US Population,Demand per Capita (kwh),,,,,
1950,0.15,0.07,0.07,0.01,0,0.3,,,,,,,
1951,0.17,0.07,0.08,0.01,0,0.33,,,,,,,
1952,0.18,0.08,0.09,0.01,0,0.36,,,,,,,
1953,0.2,0.09,0.1,0.01,0,0.4,,,,,,,
1954,0.21,0.09,0.12,0.01,0,0.43,,,,,,,
1955,0.26,0.1,0.13,0.01,0,0.5,,,,,,,
1956,0.29,0.11,0.14,0.01,0,0.55,,,,,,,
1957,0.29,0.12,0.16,0,0,0.57,,,,,,,
1958,0.29,0.13,0.17,0,0,0.59,,,,,,,
1959,0.32,0.14,0.18,0,0,0.64,,,,,,,
1960,0.32,0.16,0.2,0,0,0.68,,,,,,,
1961,0.34,0.17,0.21,0,0,0.72,,,,,,,
1962,0.36,0.18,0.23,0,0,0.77,,,,,,,
1963,0.38,0.2,0.25,0,0,0.83,,,,,,,
1964,0.41,0.22,0.27,0,0,0.9,,,,,,,
1965,0.43,0.23,0.29,0,0,0.95,,,,,,,
1966,0.46,0.25,0.32,0,0,1.03,,,,,,,
1967,0.49,0.27,0.34,0,0,1.1,,,,,,,
1968,0.52,0.3,0.38,0,0,1.2,,,,,,,
1969,0.56,0.32,0.43,0,0,1.31,,,,,,,
1970,0.57,0.35,0.47,0,0,1.39,,,,,,,
1971,0.59,0.38,0.5,0,0,1.47,,,,,,,
1972,0.64,0.41,0.54,0,0,1.59,,,,,,,
1973,0.69,0.44,0.58,0,0,1.71,,,,,,,
1974,0.68,0.44,0.58,0,0,1.7,,,,,,,
1975,0.69,0.47,0.59,0,0,1.75,,,,,,,
1976,0.75,0.49,0.61,0,0,1.85,,,,,,,
1977,0.79,0.51,0.65,0,0,1.95,,,,,,,
1978,0.81,0.53,0.67,0,0,2.01,,,Correlation,Year,Average Electricity Prices by Year*,Average Annual CPI for Electricity**,Electricity Prices Adjusted for Inflation in 2022 Dollars
1979,0.84,0.54,0.68,0,0,2.06,220463115,9343.966677,0.573833032,1979,$0.05 ,65.6,$0.19 
1980,0.82,0.56,0.72,0,0,2.1,223140018,9411.131266,,1980,$0.06 ,75.8,$0.20 
1981,0.83,0.6,0.72,0,0,2.15,225654008,9527.860901,,1981,$0.07 ,87.2,$0.20 
1982,0.74,0.61,0.73,0,0,2.08,228001418,9122.75028,,1982,$0.08 ,95.8,$0.20 
1983,0.78,0.62,0.75,0,0,2.15,230389964,9332.003715,,1983,$0.08 ,98.9,$0.20 
1984,0.84,0.66,0.78,0,0,2.28,232766280,9795.233227,,1984,$0.08 ,105.3,$0.20 
1985,0.84,0.69,0.79,0,0,2.32,235146182,9866.203143,,1985,$0.08 ,108.9,$0.19 
1986,0.83,0.71,0.82,0,0,2.36,237512783,9936.307302,,1986,$0.08 ,110.4,$0.18 
1987,0.86,0.74,0.85,0,0,2.45,239853168,10214.58261,,1987,$0.08 ,110,$0.18 
1988,0.9,0.78,0.89,0,0,2.57,242287814,10607.2194,,1988,$0.08 ,111.5,$0.18 
1989,0.93,0.81,0.91,0,0.11,2.76,244954094,11267.41731,,1989,$0.08 ,114.7,$0.18 
1990,0.95,0.84,0.92,0,0.12,2.83,248083732,11407.43884,,1990,$0.08 ,117.4,$0.18 
1991,0.95,0.86,0.96,0,0.12,2.89,251560189,11488.3043,,1991,$0.09 ,121.8,$0.18 
1992,0.97,0.85,0.94,0,0.13,2.89,255175339,11325.54584,,1992,$0.09 ,124.2,$0.18 
1993,0.98,0.88,0.99,0,0.14,2.99,258779753,11554.22696,,1993,$0.09 ,126.7,$0.18 
1994,1.01,0.91,1.01,0,0.15,3.08,262273589,11743.46228,,1994,$0.09 ,126.7,$0.18 
1995,1.01,0.95,1.04,0,0.15,3.15,265660556,11857.23634,,1995,$0.09 ,129.6,$0.18 
1996,1.03,0.98,1.08,0,0.15,3.24,268984347,12045.31058,,1996,$0.09 ,131.8,$0.18 
1997,1.04,1.03,1.08,0,0.16,3.31,272395438,12151.45167,,1997,$0.09 ,132.5,$0.18 
1998,1.05,1.08,1.13,0,0.16,3.42,275835018,12398.71581,,1998,$0.09 ,127.4,$0.17 
1999,1.06,1.1,1.14,0.01,0.17,3.48,279181581,12465.00571,,1999,$0.09 ,126.5,$0.17 
2000,1.06,1.16,1.19,0.01,0.17,3.59,282398554,12712.52968,,2000,$0.09 ,128.5,$0.17 
2001,1,1.19,1.2,0.01,0.16,3.56,285470493,12470.64088,,2001,$0.09 ,137.8,$0.17 
2002,0.99,1.2,1.27,0.01,0.17,3.64,288350252,12623.53674,,2002,$0.09 ,136.2,$0.17 
2003,1.01,1.2,1.28,0.01,0.17,3.67,291109820,12606.92614,,2003,$0.09 ,139.5,$0.17 
2004,1.02,1.23,1.29,0.01,0.17,3.72,293947885,12655.30453,,2004,$0.09 ,142.1,$0.17 
2005,1.02,1.28,1.36,0.01,0.15,3.82,296842670,12868.76984,,2005,$0.10 ,150.8,$0.17 
2006,1.01,1.3,1.35,0.01,0.15,3.82,299753098,12743.82158,,2006,$0.11 ,169.2,$0.17 
2007,1.03,1.34,1.39,0.01,0.13,3.9,302743399,12882.19665,,2007,$0.12 ,175.825,$0.17 
2008,1.01,1.34,1.38,0.01,0.13,3.87,305694910,12659.68086,,2008,$0.12 ,187.146,$0.17 
2009,0.92,1.31,1.36,0.01,0.13,3.73,308512035,12090.29009,,2009,$0.13 ,192.712,$0.17 
2010,0.97,1.33,1.45,0.01,0.13,3.89,311182845,12500.6891,,2010,$0.13 ,193.095,$0.17 
2011,0.99,1.33,1.42,0.01,0.13,3.88,313876608,12361.54559,,2011,$0.13 ,196.737,$0.17 
2012,0.99,1.33,1.37,0.01,0.14,3.84,316651321,12126.90346,,2012,$0.13 ,196.63,$0.17 
2013,0.99,1.34,1.39,0.01,0.14,3.87,319375166,12117.41053,,2013,$0.13 ,200.75,$0.17 
2014,1,1.35,1.41,0.01,0.14,3.91,322033964,12141.57647,,2014,$0.14 ,208.02,$0.17 
2015,0.99,1.36,1.4,0.01,0.14,3.9,324607776,12014.49962,,2015,$0.14 ,209.191,$0.17 
2016,0.98,1.37,1.41,0.01,0.14,3.91,327210198,11949.50531,,2016,$0.14 ,206.983,$0.17 
2017,0.98,1.35,1.38,0.01,0.14,3.86,329791231,11704.37427,,2017,$0.14 ,211.437,$0.17 
2018,1,1.38,1.47,0.01,0.14,4,332140037,12043.11301,,2018,$0.14 ,212.932,$0.16 
2019,1,1.36,1.44,0.01,0.14,3.95,334319671,11815.03915,,2019,$0.14 ,213.362,$0.16 
2020,0.96,1.29,1.46,0.01,0.14,3.86,335942003,11490.07854,,2020,$0.14 ,214.615,$0.16 
2021,1,1.33,1.47,0.01,0.14,3.95,336997624,11721.15089,,2021,$0.14 ,223.892,$0.16 
2022,1.01,1.37,1.52,0.01,0.14,4.05,338289857,11971.98177,,2022,$0.16 ,253.127,$0.16 