Year,High,Low,Median
2020,1,1,1
2021,0.999964038,0.99996251,0.999963274
2022,1.007575406,1.000636439,1.005692311
2023,1.037552541,1.017774033,1.029429424
2024,1.047991766,1.019565089,1.035178957
2025,1.060931684,1.024541971,1.044135575
2026,1.070484514,1.02600962,1.04946056
2027,1.077387137,1.027739062,1.053611007
2028,1.084487711,1.0303134,1.057713142
2029,1.092030528,1.033093391,1.063096177
2030,1.098735835,1.035224276,1.067244904
2031,1.106822989,1.038868066,1.07329213
2032,1.114269058,1.044005983,1.079144649
2033,1.122845047,1.048791532,1.08504758
2034,1.1317566,1.052322279,1.091180669
2035,1.143270434,1.058320494,1.099330583
2036,1.155917879,1.065102307,1.108083393
2037,1.169871046,1.072739391,1.117783319
2038,1.184261364,1.080192588,1.127840196
2039,1.19734736,1.08802565,1.13701959
2040,1.208681572,1.094434983,1.145457968
2041,1.222381284,1.102173334,1.155606501
2042,1.235858602,1.109774073,1.166045535
2043,1.250002976,1.118243384,1.176538417
2044,1.264068677,1.126595578,1.187109844
2045,1.278170405,1.135264369,1.198101744
2046,1.291128082,1.145520345,1.208594371
2047,1.306145483,1.155223326,1.219406905
2048,1.319783581,1.164491067,1.229344756
2049,1.333485203,1.173668297,1.240752039
2050,1.348229162,1.185538826,1.254242596