Year,Median,Low,High
2020,10.948773,10.948773,10.948773
2021,11.238533,11.238533,11.238533
2022,11.528293,11.528293,11.528293
2023,10.949123,10.652049,10.789227
2024,11.597688,10.878679,11.76775
2025,11.443176,10.674549,11.950175
2026,11.331409,10.585754,12.023262
2027,11.396874,10.626769,12.183484
2028,11.602133,10.789724,12.543761
2029,11.700255,10.89608,13.317285
2030,11.855314,10.949023,13.414064
2031,12.035972,11.013552,13.634863
2032,12.176908,11.130578,13.812439
2033,12.297419,11.173882,14.024291
2034,12.309349,11.114727,14.186496
2035,12.328776,11.142793,14.176584
2036,12.282836,11.160308,14.222899
2037,12.269316,11.210576,14.561921
2038,12.46281,11.341013,14.75335
2039,12.28694,11.326223,14.808003
2040,12.810111,11.646155,14.860136
2041,12.982021,11.768982,15.001571
2042,13.12277,11.769041,15.117175
2043,13.493824,11.98939,15.394815
2044,13.771741,12.090694,15.330593
2045,13.866728,12.205249,15.454867
2046,14.009069,12.33809,15.588661
2047,14.133843,12.278422,15.596691
2048,14.030553,12.361053,15.66974
2049,14.094229,12.488993,15.746248
2050,14.001567,12.585926,15.712053