frequency,intensity
38.125,1.19
-20.000,3.64
25.660,4.76
-14.045,3.83
-6.038,4.70
-9.811,3.41
2.381,6.56
-20.377,6.91
-8.750,5.68
-8.307,5.00
-29.434,0.53
-3.774,4.60
-46.792,4.44
-0.755,6.49
16.604,3.17
17.358,1.51
-13.585,6.94
3.774,8.30
43.774,-2.04
4.528,2.19
3.019,4.00
-27.925,4.45
-60.377,2.19
3.774,5.35
4.528,-0.75
3.019,3.41
-10.566,2.19
43.019,1.51
-33.208,2.44
-18.113,2.11
-17.358,2.72
-23.396,0.68
-29.434,3.02
-30.189,2.72
-15.849,1.13
-40.000,1.74
0.755,2.87
-20.377,1.51
21.132,1.58
-18.113,1.51
-7.547,6.79
6.038,8.45
-21.887,2.56
-1.509,0.00
-29.434,0.00
8.000,2.69
4.444,1.62
1.081,6.49
-20.377,3.24
-25.556,11.35
-6.792,0.54
-28.679,3.24
-39.245,
-18.868,
6.038,
-46.792,
-24.906,
-21.132,
-16.604,
-32.453,
16.216,
120.000,
14.595,
14.054,
29.730,
20.541,
1.568,
-32.432,
-13.514,
-14.595,
42.703,
21.622,
-12.973,
-6.486,
4.528,
3.019,
-10.566,
42.264,
-15.849,
-33.962,
-27.925,
-21.887,
-9.811,
-18.868,
-30.000,
-14.444,
-23.333,
-51.111,
-17.778,
-21.111,
-15.556,
-31.111,
-33.333,
15.556,
16.667,
-24.865,
0.973,
-7.568,
-30.270,
-22.162,
-12.432,
-7.027,
-29.730,
-26.486,
17.297,
-3.243,
-18.750,
-10.000,
-31.892,
-29.189,
-35.135,
-0.755,
-27.170,
9.811,
27.925,
-28.679,
-15.849,
-15.094,
-20.377,
-25.660,
-27.170,
-13.585,
-33.962,
-2.264,
-21.887,
15.094,
-17.358,
8.302,
-22.642,
-22.703,
-16.216,
-8.108,
-30.943,
-25.946,
-4.865,
-22.703,
22.162,
-24.324,
-20.000,
-9.000,
25.556,